probIn scale
0.4457206 0.0006578678
0.4223671 0.0006437135
0.4092662 0.0006442194
0.3838624 0.0006351404
0.3866493 0.0006278668
0.3684459 0.0006228798
0.3651849 0.0006268195
0.3629471 0.0006242909
0.3571287 0.0006080107
0.3679283 0.0006080088
0.3612385 0.0005987728
0.3710547 0.0005937888
0.3730781 0.0005891035
0.3908318 0.0005967235
0.3969195 0.0005977618
0.3964479 0.0005847436
0.3961048 0.0005882586
0.390913 0.0005886296
0.3962085 0.0005811109
0.3853942 0.0005827579
0.3955211 0.0005841812
0.387301 0.000594889
0.3788794 0.0006011642
0.3829509 0.0006037923
0.3891383 0.0006114872
0.3839816 0.0006096615
0.375381 0.000603024
0.3749987 0.0005970062
0.3749826 0.0005828432
0.361388 0.000590173
0.3636718 0.0005848487
0.3665633 0.0005858297
0.3703896 0.0005825365
0.373994 0.0005758245
0.3860173 0.0005804398
0.3669708 0.0005877395
0.3701431 0.0005938813
0.3612864 0.0005916628
0.3766268 0.0005824316
0.3751884 0.0005906914
0.386228 0.0005807283
0.3930922 0.0005914122
0.3861726 0.0005934337
0.3967124 0.0005898829
0.3915362 0.0005863731
0.3997632 0.0005876806
0.3889481 0.0005919018
0.3738094 0.0006109443
0.3653767 0.0005886193
0.3902693 0.0005918145
0.4007492 0.000591662
0.400286 0.0005933011
0.415511 0.0005911146
0.411835 0.0005950805
0.4118043 0.0005928694
0.4083292 0.0005908476
0.4098865 0.0005913526
0.4168556 0.0005854833
0.4061911 0.0005929396
0.4045469 0.0006086203
0.3977237 0.0006112962
0.3940466 0.0006191982
0.3966621 0.0006202182
0.389106 0.0006181207
0.3748825 0.0006278718
0.3815943 0.0006378267
0.3861563 0.0006393782
0.3827669 0.0006280864
0.3876159 0.0006210719
0.3976856 0.0006370734
0.3971815 0.0006383538
0.3936823 0.0006417186
0.3933057 0.0006389799
0.3854556 0.0006403484
0.371726 0.0006441123
0.3687996 0.0006544949
0.3787335 0.000653332
0.3760848 0.0006583617
0.3834606 0.0006585119
0.3888487 0.0006741473
0.3828407 0.0006732605
0.3932761 0.0006716988
0.3860944 0.0006620316
0.3838307 0.0006426366
0.3915592 0.0006537848
0.3842589 0.0006565196
0.3766795 0.0006580997
0.3809174 0.0006504443
0.3828952 0.0006562052
0.3957608 0.0006425355
0.3939296 0.0006570952
0.4089187 0.0006540324
0.418378 0.0006487715
0.4048371 0.0006416437
0.4023508 0.0006420398
0.3959644 0.0006506302
0.3949679 0.0006665145
0.3936793 0.0006622766
0.3980668 0.0006711004
0.3944782 0.0006700376
0.3904425 0.000666338
0.3944225 0.0006657653
0.388808 0.0006673593
0.3868885 0.0006638946
0.3909475 0.0006550292
0.3948474 0.0006555852
0.3870235 0.0006611311
0.3951563 0.0006642983
0.38813 0.0006540092
0.3911843 0.0006657431
0.3825576 0.000660969
0.3768564 0.0006577704
