probIn varB
0.4044152 0.0004110155
0.3708037 0.0003706863
0.3612283 0.0003463501
0.3482548 0.0003356136
0.329691 0.0003355761
0.3234926 0.0003178301
0.3121382 0.0003097297
0.301363 0.0002935651
0.289835 0.0002817915
0.2837094 0.0002894852
0.2751283 0.0002869556
0.2739072 0.0002759533
0.2659773 0.000280072
0.2600656 0.0002803401
0.2578916 0.0002821407
0.2575052 0.0002922851
0.256304 0.0002925859
0.2614239 0.0002939681
0.2493362 0.0002861892
0.2519318 0.0002869259
0.2577547 0.0002902864
0.2619799 0.0002834675
0.2648857 0.0002733773
0.264776 0.0002792076
0.2664278 0.0002820122
0.259514 0.000295499
0.2633221 0.0002928964
0.2685172 0.0002855812
0.2642994 0.000286989
0.2636226 0.0002849435
0.2613989 0.0002913118
0.259858 0.0002982874
0.2673769 0.0002960626
0.2694729 0.0003097458
0.2611421 0.0003075723
0.2564449 0.0002992637
0.2824163 0.0003008598
0.2670171 0.0002931499
0.2673516 0.000299432
0.2745803 0.0002884695
0.2803848 0.0002885871
0.2863625 0.0002872721
0.2842741 0.0002777527
0.2951794 0.0002696647
0.2982907 0.0002866944
0.2836686 0.0002917357
0.2784856 0.0003026169
0.2727982 0.000306054
0.2690511 0.0003090931
0.2766892 0.0002985179
0.2757716 0.0002983448
0.2732443 0.0003043999
0.2880288 0.0002988417
0.2854714 0.0003087281
0.2897053 0.0002990548
0.2871435 0.0002836815
0.2906227 0.0002805426
0.2884524 0.0002797534
0.2774216 0.0002788279
0.2776417 0.0002789261
0.2789174 0.0002866379
0.2801099 0.000277833
0.2785131 0.0002816994
0.2700348 0.0002703465
0.2740627 0.0002803343
0.272538 0.0002791009
0.2758478 0.000284766
0.2801346 0.0002808518
0.2715856 0.0002829528
0.2764339 0.0002717335
0.2855987 0.0002712765
0.282484 0.0002760384
0.2826246 0.0002787458
0.2752546 0.0002762098
0.2701303 0.0002691005
0.2757169 0.0002798416
0.2897952 0.0002789067
0.2971514 0.0002739792
0.3053616 0.0002720165
0.2965595 0.0002846556
0.2905965 0.0002778449
0.287999 0.0002708564
0.2906522 0.0002839245
0.2812592 0.0002786606
0.2869519 0.0002875664
0.275667 0.0002966577
0.2640089 0.0002939902
0.2574137 0.0003065555
0.254974 0.0003025322
0.2486246 0.0003005692
0.2534978 0.0003003178
0.2556508 0.0002885118
0.2649628 0.0002808848
0.2533749 0.0002805389
0.25251 0.0002774176
0.2584409 0.0002792493
0.2624076 0.0002772926
0.2648584 0.0002737697
0.261209 0.0002761189
0.273199 0.0002809558
0.2768846 0.0002829437
0.2799882 0.0002775517
0.2814222 0.0002780643
0.2736941 0.0002735866
0.2752683 0.0002742916
0.2854584 0.0002764638
0.2885057 0.0002828427
0.2876257 0.0002797147
0.2751975 0.00027945
0.2831803 0.0002860786
0.290375 0.0002876156
0.2957221 0.0002952279
0.2898853 0.0002901112
0.3040513 0.0002893377
0.3103847 0.0002905637
0.3083504 0.000293127
0.3140329 0.0002796593
0.3074185 0.0002835594
0.3078644 0.0002811403
0.30165 0.0002887082
0.3011933 0.0002829191
0.3025878 0.0002890472
0.2983998 0.0002825265
0.2953938 0.0002771277
0.2934202 0.0002828928
0.2871981 0.0002856584
0.2828819 0.0002913805
0.2801341 0.0002996228
0.2810832 0.0002947035
0.2890136 0.0003017243
0.2922009 0.0002959493
0.2961829 0.0002939388
0.3126221 0.0002832669
0.2955764 0.0002793702
0.2990999 0.0002865365
0.2966592 0.0002869177
0.294753 0.000289326
0.2948628 0.0003003244
0.2913335 0.0002900634
0.2788046 0.0002996935
0.2761691 0.0002895347
0.2816139 0.0002881269
0.2790771 0.0002919949
0.281103 0.0002945915
0.275464 0.000303894
0.2732013 0.0002933927
0.2788155 0.0003023576
